,University,City,University_location,Latitude,Longitude
0,Academy of Art University,San Francisco,"Academy of Art University, San Francisco",37.7878985,-122.4005487961245
1,Azusa Pacific University,Azusa,"Azusa Pacific University, Azusa",34.1304588,-117.8879645299709
2,Biola University,La Mirada,"Biola University, La Mirada",33.9063873,-118.01513192943386
3,California Baptist University,Riverside,"California Baptist University, Riverside",33.928323899999995,-117.42592384938786
4,California Polytechnic State University-San Luis Obispo,San Luis Obispo,"California Polytechnic State University-San Luis Obispo, San Luis Obispo",35.3074623,-120.66464833678835
5,California State Polytechnic University-Pomona,Pomona,"California State Polytechnic University-Pomona, Pomona",34.0558089,-117.82310441046457
6,California State University-Bakersfield,Bakersfield,"California State University-Bakersfield, Bakersfield",35.34926754999999,-119.10332576646724
7,California State University-Channel Islands,Camarillo,"California State University-Channel Islands, Camarillo",34.16726894999999,-119.04511795569039
8,California State University-Chico,Chico,"California State University-Chico, Chico",39.729654800000006,-121.84842544054675
9,California State University-Dominguez Hills,Carson,"California State University-Dominguez Hills, Carson",33.86273425,-118.25439811615064
10,California State University-East Bay,Hayward,"California State University-East Bay, Hayward",37.65552355,-122.05587721694027
11,California State University-Fresno,Fresno,"California State University-Fresno, Fresno",36.81387055,-119.74462214862828
12,California State University-Fullerton,Fullerton,"California State University-Fullerton, Fullerton",33.8847188,-117.8852867424058
13,California State University-Long Beach,Long Beach,"California State University-Long Beach, Long Beach",33.7817687,-118.11519972342447
14,California State University-Los Angeles,Los Angeles,"California State University-Los Angeles, Los Angeles",34.066494899999995,-118.16714151663223
15,California State University-Monterey Bay,Seaside,"California State University-Monterey Bay, Seaside",36.6537668,-121.79734459571648
16,California State University-Northridge,Northridge,"California State University-Northridge, Northridge",34.2455346,-118.52631936633176
17,California State University-Sacramento,Sacramento,"California State University-Sacramento, Sacramento",38.5598752,-121.42409402792894
18,California State University-San Bernardino,San Bernardino,"California State University-San Bernardino, San Bernardino",34.1825988,-117.32188649220875
19,California State University-San Marcos,San Marcos,"California State University-San Marcos, San Marcos",33.1295667,-117.1606492322195
20,California State University-Stanislaus,Turlock,"California State University-Stanislaus, Turlock",37.5255729,-120.85577634163963
21,Chapman University,Orange,"Chapman University, Orange",33.79338165,-117.85168957641582
22,Concordia University-Irvine,Irvine,"Concordia University-Irvine, Irvine",33.653869549999996,-117.81091553447582
23,DeVry University-California,Pomona,"DeVry University-California, Pomona",33.80912375,-118.14524013898418
24,Humboldt State University,Arcata,"Humboldt State University, Arcata",40.87558755,-124.07799976381143
25,Loma Linda University,Loma Linda,"Loma Linda University, Loma Linda",34.051444599999996,-117.26281763717657
26,Loyola Marymount University,Los Angeles,"Loyola Marymount University, Los Angeles",33.968782399999995,-118.41820210089406
27,San Diego State University,San Diego,"San Diego State University, San Diego",32.7761529,-117.07330366921886
28,San Francisco State University,San Francisco,"San Francisco State University, San Francisco",37.7245167,-122.48000024458558
29,San Jose State University,San Jose,"San Jose State University, San Jose",37.33519025,-121.88122545292521
30,Santa Clara University,Santa Clara,"Santa Clara University, Santa Clara",37.3485345,-121.9364432397986
31,Sonoma State University,Rohnert Park,"Sonoma State University, Rohnert Park",38.33982655,-122.6734191695437
32,Stanford University,Stanford,"Stanford University, Stanford",37.431313849999995,-122.16936535498309
33,University of California-Berkeley,Berkeley,"University of California-Berkeley, Berkeley",37.8753497,-122.23963364918777
34,University of California-Davis,Davis,"University of California-Davis, Davis",38.5336349,-121.79077263974736
35,University of California-Irvine,Irvine,"University of California-Irvine, Irvine",33.6431901,-117.84016493553044
36,University of California-Los Angeles,Los Angeles,"University of California-Los Angeles, Los Angeles",34.0708781,-118.44684973165106
37,University of California-Merced,Merced,"University of California-Merced, Merced",37.3654534,-120.42313631879246
38,University of California-Riverside,Riverside,"University of California-Riverside, Riverside",33.9814567,-117.374703
39,University of California-San Diego,La Jolla,"University of California-San Diego, La Jolla",32.87935255,-117.2311004938553
40,University of California-Santa Barbara,Santa Barbara,"University of California-Santa Barbara, Santa Barbara",34.4145937,-119.84581949868962
41,University of California-Santa Cruz,Santa Cruz,"University of California-Santa Cruz, Santa Cruz",37.00012445,-122.06221067580847
42,University of La Verne,La Verne,"University of La Verne, La Verne",34.100033749999994,-117.7725889521362
43,University of Phoenix-California,Costa Mesa,"University of Phoenix-California, Costa Mesa",37.7916315,-122.3991462
44,University of Redlands,Redlands,"University of Redlands, Redlands",34.0625269,-117.1640951
45,University of San Diego,San Diego,"University of San Diego, San Diego",32.77259675,-117.18916301008481
46,University of San Francisco,San Francisco,"University of San Francisco, San Francisco",37.779326600000005,-122.45144005900386
47,University of Southern California,Los Angeles,"University of Southern California, Los Angeles",34.0218833,-118.28586726915088
48,University of the Pacific,Stockton,"University of the Pacific, Stockton",37.98042375,-121.31284719832666
