,University,City,University_location,Enroll,InStateCost_doller,OutStateCost_doller,CostDiff_doller
1,Academy of Art University,San Francisco,"Academy of Art University, San Francisco",18535,38806.0,38806.0,0.0
3,Academy of Couture Art,Beverly Hills,"Academy of Couture Art, Beverly Hills",32,24738.0,24738.0,0.0
5,Alliant International University-San Diego,San Diego,"Alliant International University-San Diego, San Diego",4986,31522.0,31522.0,0.0
9,American Conservatory Theater,San Francisco,"American Conservatory Theater, San Francisco",114,26201.0,26201.0,0.0
11,American Jewish University,Los Angeles,"American Jewish University, Los Angeles",212,49121.0,49121.0,0.0
12,American University of Health Sciences,Signal Hill,"American University of Health Sciences, Signal Hill",358,24662.0,24662.0,0.0
14,Antioch University-Los Angeles,Culver City,"Antioch University-Los Angeles, Culver City",1436,26756.0,26756.0,0.0
15,Antioch University-Santa Barbara,Santa Barbara,"Antioch University-Santa Barbara, Santa Barbara",632,17416.0,17416.0,0.0
16,Argosy University-Inland Empire,Ontario,"Argosy University-Inland Empire, Ontario",993,14663.0,14663.0,0.0
17,Argosy University-Los Angeles,Los Angeles,"Argosy University-Los Angeles, Los Angeles",859,14663.0,14663.0,0.0
18,Argosy University-Orange County,Orange,"Argosy University-Orange County, Orange",842,14663.0,14663.0,0.0
19,Argosy University-San Diego,San Diego,"Argosy University-San Diego, San Diego",636,14663.0,14663.0,0.0
20,Argosy University-San Francisco Bay Area,Alameda,"Argosy University-San Francisco Bay Area, Alameda",547,14663.0,14663.0,0.0
21,Art Center College of Design,Pasadena,"Art Center College of Design, Pasadena",2721,41830.0,41830.0,0.0
22,Ashford University,San Diego,"Ashford University, San Diego",107170,21887.0,21887.0,0.0
23,Azusa Pacific University,Azusa,"Azusa Pacific University, Azusa",10686,46992.0,46992.0,0.0
24,Azusa Pacific University College,Glendora,"Azusa Pacific University College, Glendora",1815,12308.0,12308.0,0.0
25,Bergin University of Canine Studies,Rohnert Park,"Bergin University of Canine Studies, Rohnert Park",71,9875.0,9875.0,0.0
27,Bethesda University,Anaheim,"Bethesda University, Anaheim",399,10320.0,10320.0,0.0
28,Biola University,La Mirada,"Biola University, La Mirada",6738,48174.0,48174.0,0.0
29,Brandman University,Irvine,"Brandman University, Irvine",11999,13952.0,13952.0,0.0
31,Brooks Institute,Ventura,"Brooks Institute, Ventura",598,22545.0,22545.0,0.0
